setN;elemId;elemType;As1Ti;As1Tj;As1Bi;As1Bj;As2Ti;As2Tj;As2Bi;As2Bj;Asw1i;Asw1j;Asw2i;Asw2j;Reinf1;Reinf2;Crack1i;Crack1j;Crack2i;Crack2j;Sw1i;Sw1j;Sw2i;Sw2j;ls1i;ls1j;ls2i;ls2j
1;325687;1;9.396049669053853e-06;9.392104057029475e-06;9.396049669053853e-06;9.392104057029475e-06;9.396049669053853e-06;9.392104057029475e-06;9.396049669053853e-06;9.392104057029475e-06;4.081153747558625e-05;4.079439979553253e-05;4.081153747558625e-05;4.079439979553253e-05;3.4800183959459e-05;3.4800183959459e-05;0.0;0.0;0.0;0.0;0.3;0.3;0.3;0.3;0.0;0.0;0.0;0.0
1;325688;1;1.0460080040825775e-05;1.0459270251238825e-05;1.0460080040825775e-05;1.0459270251238825e-05;1.0460080040825775e-05;1.0459270251238825e-05;1.0460080040825775e-05;1.0459270251238825e-05;4.5433130264282566e-05;4.542961296081577e-05;4.5433130264282566e-05;4.542961296081577e-05;3.8741037188243926e-05;3.8741037188243926e-05;0.0;0.0;0.0;0.0;0.3;0.3;0.3;0.3;0.0;0.0;0.0;0.0
1;325689;1;1.1830880285192462e-05;1.1831808358651662e-05;1.1830880285192462e-05;1.1831808358651662e-05;1.1830880285192462e-05;1.1831808358651662e-05;1.1830880285192462e-05;1.1831808358651662e-05;5.138717132568398e-05;5.1391202392578516e-05;5.138717132568398e-05;5.1391202392578516e-05;4.382151243945096e-05;4.382151243945096e-05;0.0;0.0;0.0;0.0;0.3;0.3;0.3;0.3;0.0;0.0;0.0;0.0
1;325690;1;1.3582830810546924e-05;1.3584737650553435e-05;1.3582830810546924e-05;1.3584737650553435e-05;1.3582830810546924e-05;1.3584737650553435e-05;1.3582830810546924e-05;1.3584737650553435e-05;5.899673034668013e-05;5.900501266479537e-05;5.899673034668013e-05;5.900501266479537e-05;5.031384315019832e-05;5.031384315019832e-05;0.0;0.0;0.0;0.0;0.3;0.3;0.3;0.3;0.0;0.0;0.0;0.0
1;325691;1;1.7686311509874197e-05;1.7688593998661812e-05;1.7686311509874197e-05;1.7688593998661812e-05;1.7686311509874197e-05;1.7688593998661812e-05;1.7686311509874197e-05;1.7688593998661812e-05;7.682010955810605e-05;7.683002349853574e-05;7.682010955810605e-05;7.683002349853574e-05;6.55133111061554e-05;6.55133111061554e-05;0.0;0.0;0.0;0.0;0.3;0.3;0.3;0.3;0.0;0.0;0.0;0.0
1;325692;1;1.4058382670084686e-05;1.4055888310185236e-05;1.4058382670084686e-05;1.4055888310185236e-05;1.4058382670084686e-05;1.4055888310185236e-05;1.4058382670084686e-05;1.4055888310185236e-05;6.10622795104985e-05;6.105144531250045e-05;6.10622795104985e-05;6.105144531250045e-05;5.206808396327704e-05;5.206808396327704e-05;0.0;0.0;0.0;0.0;0.3;0.3;0.3;0.3;0.0;0.0;0.0;0.0
1;325696;1;3.8012218616627018e-06;3.8039462901927946e-06;3.8012218616627018e-06;3.8039462901927946e-06;3.8012218616627018e-06;3.8039462901927946e-06;3.8012218616627018e-06;3.8039462901927946e-06;1.6510524520874145e-05;1.6522358016967898e-05;1.6510524520874145e-05;1.6522358016967898e-05;1.4088689963677132e-05;1.4088689963677132e-05;0.0;0.0;0.0;0.0;0.3;0.3;0.3;0.3;0.0;0.0;0.0;0.0
1;325697;1;2.111792031747331e-05;2.112014561405896e-05;2.111792031747331e-05;2.112014561405896e-05;2.111792031747331e-05;2.112014561405896e-05;2.111792031747331e-05;2.112014561405896e-05;9.172522781372139e-05;9.173489334106514e-05;9.172522781372139e-05;9.173489334106514e-05;7.822276153355233e-05;7.822276153355233e-05;0.0;0.0;0.0;0.0;0.3;0.3;0.3;0.3;0.0;0.0;0.0;0.0
1;325698;1;4.3094896104600846e-05;4.3095507021303685e-05;4.3094896104600846e-05;4.3095507021303685e-05;4.3094896104600846e-05;4.3095507021303685e-05;4.3094896104600846e-05;4.3095507021303685e-05;0.00018718174438476704;0.000187184397888185;0.00018718174438476704;0.000187184397888185;0.00015961298896779273;0.00015961298896779273;0.0;0.0;0.0;0.0;0.3;0.3;0.3;0.3;0.0;0.0;0.0;0.0
1;325699;1;5.570237110279245e-05;5.570157561125599e-05;5.570237110279245e-05;5.570157561125599e-05;5.570237110279245e-05;5.570157561125599e-05;5.570237110279245e-05;5.570157561125599e-05;0.000241942037963869;0.0002419385827636737;0.000241942037963869;0.0002419385827636737;0.00020630507815849224;0.00020630507815849224;0.0;0.0;0.0;0.0;0.3;0.3;0.3;0.3;0.0;0.0;0.0;0.0
